,row_letter,row,column,x_coord,y_coord,radius,hough_peak_int,min_griddist,note,halo_rad,x+y,x-y,spot_intensity,RT
223,L,12,17,699,1352,20,0.3166666666666668,3.423817843273233,kept,,2051,-653,0.3220009899889889,1115
224,L,12,16,599,1349,22,,0.0,backfilled,,1948,-750,0.321946439575315,1120
225,L,12,15,501,1349,22,,0.0,backfilled,,1850,-848,0.330310836338657,1125
226,L,12,14,403,1349,22,,0.0,backfilled,,1752,-946,0.344778818276409,1130
227,L,12,13,300,1349,22,,0.0,backfilled,,1649,-1049,0.3426392298289743,1135
228,L,12,12,192,1349,22,,0.0,backfilled,,1541,-1157,0.357604226646867,1140
229,L,12,11,93,1347,24,0.298611111111111,2.82842712474613,kept,,1440,-1254,0.3758361871281228,1145
230,L,12,10,990,1359,21,,0.0,backfilled,,2349,-369,0.4728934953682658,1150
231,L,12,9,886,1364,23,0.367647058823529,6.744616785442363,kept,,2250,-478,0.4656261680354779,1155
232,L,12,8,784,1352,22,0.3359375,6.755226448077001,kept,,2136,-568,0.465533230293663,1160
233,L,12,7,684,1356,20,0.4000000000000004,1.907173747957982,kept,,2040,-672,0.4652261316685355,1165
234,L,12,6,581,1351,23,0.4191176470588229,7.934893547795663,kept,,1932,-770,0.437365012980978,1170
235,L,12,5,483,1352,20,0.4666666666666673,1.445839966898311,kept,,1835,-869,0.4454101888050428,1175
236,L,12,4,385,1351,20,0.3833333333333337,2.139116438757412,kept,,1736,-966,0.4218949197401784,1180
237,L,12,3,280,1349,22,0.453125,3.144312665085975,kept,,1629,-1069,0.4213332525179057,1185
238,L,12,2,181,1346,23,0.3529411764705878,0.8322309499211957,kept,,1527,-1165,0.3971755008031034,1190
239,L,12,1,73,1340,22,0.3984375,7.482412290819432,kept,,1413,-1267,0.4047842733177764,1195
